run_name,run_id,domain_name,finetune_strategy,pretrained_scheme,seed,task_type,run_state,accuracy,f1,precision,recall,auc,loss,convergence_epochs,training_time,total_parameters,trainable_parameters
CiteSeer_NC_full_finetune_b1_42,pcdwqocc,CiteSeer_NC,full_finetune,b1,42,node_classification,finished,0.465,0.4275895731524843,0.5065312793026086,0.43517924692887505,0.7576440529281472,1.5514291524887085,153,25.18416404724121,2272523,2272523
CiteSeer_NC_full_finetune_b1_84,tasb62cb,CiteSeer_NC,full_finetune,b1,84,node_classification,finished,0.44,0.4295206061206131,0.4749260994294802,0.44110276322346026,0.7563147801176072,1.571438908576965,165,45.18075919151306,2272523,2272523
Cora_NC_full_finetune_b1_42,xx1sa5w5,Cora_NC,full_finetune,b1,42,node_classification,finished,0.53,0.5247155692883287,0.5349883724674285,0.5714424707286342,0.8676779430505206,1.4649614095687866,147,27.33084392547607,1691660,1691660
CiteSeer_NC_full_finetune_b1_126,zrwjqqpg,CiteSeer_NC,full_finetune,b1,126,node_classification,finished,0.455,0.440267761235742,0.461392541548128,0.4378290760568704,0.7590519434800308,1.5608150959014893,148,23.985363483428955,2272523,2272523
Cora_NC_full_finetune_b1_84,7bzm4m82,Cora_NC,full_finetune,b1,84,node_classification,finished,0.525,0.5301955200473688,0.5446929895321545,0.569726609184782,0.8655253129477367,1.454813003540039,133,22.95586943626404,1691660,1691660
CiteSeer_NC_full_finetune_b2_42,q8op2yu8,CiteSeer_NC,full_finetune,b2,42,node_classification,finished,0.457,0.4186973772575309,0.5315870388535016,0.42153870014978184,0.7630109343028854,1.5075178146362305,166,24.986775875091553,2272523,2272523
Cora_NC_full_finetune_b1_126,cfxe0gho,Cora_NC,full_finetune,b1,126,node_classification,finished,0.554,0.5540163107381119,0.5511335553607887,0.6077175064891309,0.8691022536651986,1.4797711372375488,123,27.766334533691406,1691660,1691660
CiteSeer_NC_full_finetune_b2_84,jeufu9cy,CiteSeer_NC,full_finetune,b2,84,node_classification,finished,0.435,0.4200227100855189,0.5106239461600948,0.4244268351471922,0.7524896356215388,1.5315494537353516,154,26.79500412940979,2272523,2272523
Cora_NC_full_finetune_b2_42,9fgxsis2,Cora_NC,full_finetune,b2,42,node_classification,finished,0.48,0.5085591151111831,0.6286536929139078,0.5465030915558525,0.8783805676951217,1.39295756816864,142,24.57062530517578,1691660,1691660
CiteSeer_NC_full_finetune_b2_126,a4qa8dj9,CiteSeer_NC,full_finetune,b2,126,node_classification,finished,0.466,0.4294346836958096,0.5245742601448492,0.42012702421887504,0.742768082614417,1.5263105630874634,160,25.03806948661804,2272523,2272523
Cora_NC_full_finetune_b2_84,ym3p1c0z,Cora_NC,full_finetune,b2,84,node_classification,finished,0.495,0.5363574891998899,0.615738174321075,0.5598682386059697,0.8800041475021719,1.3856587409973145,157,23.756287097930908,1691660,1691660
CiteSeer_NC_full_finetune_b3_42,icxxckpy,CiteSeer_NC,full_finetune,b3,42,node_classification,finished,0.428,0.40980964129079395,0.4763415584561617,0.4109697612499887,0.7502484474066585,1.5736937522888184,144,29.49381184577942,2272523,2272523
Cora_NC_full_finetune_b2_126,24uj19go,Cora_NC,full_finetune,b2,126,node_classification,finished,0.533,0.5414967412100044,0.5928818323738769,0.5941200733058711,0.8769591561532536,1.3992984294891355,140,27.05927300453186,1691660,1691660
CiteSeer_NC_full_finetune_b3_84,asvn2c97,CiteSeer_NC,full_finetune,b3,84,node_classification,finished,0.399,0.3924185817529677,0.4972634511525926,0.40229786548980134,0.7294844945288778,1.5910581350326538,161,22.525574207305908,2272523,2272523
Cora_NC_full_finetune_b3_42,ox8dcmgs,Cora_NC,full_finetune,b3,42,node_classification,finished,0.53,0.5328813884154764,0.5628669787493803,0.5876835980741184,0.8743427673572918,1.4161264896392822,143,25.910305976867676,1691660,1691660
CiteSeer_NC_full_finetune_b3_126,zcqiei1t,CiteSeer_NC,full_finetune,b3,126,node_classification,finished,0.402,0.3933479327943696,0.5099589517251119,0.39476079962559985,0.756550896407432,1.5537792444229126,145,24.484649658203125,2272523,2272523
Cora_NC_full_finetune_b3_84,314lcob0,Cora_NC,full_finetune,b3,84,node_classification,finished,0.542,0.5467054164098883,0.5669119217043224,0.6040817790599433,0.8718354957059619,1.426638126373291,143,24.245386123657227,1691660,1691660
CiteSeer_NC_full_finetune_b4_42,w29t0gir,CiteSeer_NC,full_finetune,b4,42,node_classification,finished,0.447,0.426466480384558,0.5025795971805382,0.4254072365220368,0.746896997143723,1.5713536739349363,139,23.48527574539185,2272523,2272523
