domain,strategy,scheme,task_type,baseline_value,pretrained_value,improvement_percent,primary_metric
CiteSeer_LP,full_finetune,b2,link_prediction,0.0933109226660005,0.0941972120622973,0.9498238480281739,auc
CiteSeer_LP,full_finetune,b3,link_prediction,0.0933109226660005,0.0904579976485091,-3.057439510809707,auc
CiteSeer_LP,full_finetune,s1,link_prediction,0.0933109226660005,0.0813532567424339,-12.814861949622088,auc
CiteSeer_LP,full_finetune,s2,link_prediction,0.0933109226660005,0.0955078197479976,2.3543836232985673,auc
CiteSeer_LP,full_finetune,s3,link_prediction,0.0933109226660005,0.0894297860939817,-4.159359334502607,auc
CiteSeer_LP,full_finetune,s4,link_prediction,0.0933109226660005,0.0921740972148681,-1.2183198050688788,auc
CiteSeer_LP,full_finetune,s5,link_prediction,0.0933109226660005,0.0890054678045782,-4.614095261744812,auc
CiteSeer_LP,full_finetune,b4,link_prediction,0.0933109226660005,0.0917208152197032,-1.7040957273447712,auc
CiteSeer_LP,linear_probe,b2,link_prediction,0.09664464519913,0.1047284154771182,8.364426462875526,auc
CiteSeer_LP,linear_probe,b3,link_prediction,0.09664464519913,0.1131220974067527,17.049524237656396,auc
CiteSeer_LP,linear_probe,s1,link_prediction,0.09664464519913,0.1064676860080863,10.16408181613845,auc
CiteSeer_LP,linear_probe,s2,link_prediction,0.09664464519913,0.1118752098737273,15.759346669663598,auc
CiteSeer_LP,linear_probe,s3,link_prediction,0.09664464519913,0.1029920413167262,6.567768037761214,auc
CiteSeer_LP,linear_probe,s4,link_prediction,0.09664464519913,0.0986402445260858,2.0648834944181274,auc
CiteSeer_LP,linear_probe,s5,link_prediction,0.09664464519913,0.0977582996856532,1.1523188731549232,auc
CiteSeer_LP,linear_probe,b4,link_prediction,0.09664464519913,0.0941624556153837,-2.5683674233910434,auc
CiteSeer_NC,full_finetune,b2,node_classification,0.4533333333333333,0.4526666666666667,-0.1470588235293956,accuracy
CiteSeer_NC,full_finetune,b3,node_classification,0.4533333333333333,0.4096666666666667,-9.632352941176462,accuracy
CiteSeer_NC,full_finetune,s1,node_classification,0.4533333333333333,0.3843333333333333,-15.22058823529412,accuracy
CiteSeer_NC,full_finetune,s2,node_classification,0.4533333333333333,0.4046666666666667,-10.735294117647053,accuracy
CiteSeer_NC,full_finetune,s3,node_classification,0.4533333333333333,0.423,-6.691176470588234,accuracy
CiteSeer_NC,full_finetune,s4,node_classification,0.4533333333333333,0.3816666666666666,-15.808823529411775,accuracy
CiteSeer_NC,full_finetune,s5,node_classification,0.4533333333333333,0.3993333333333333,-11.911764705882351,accuracy
CiteSeer_NC,full_finetune,b4,node_classification,0.4533333333333333,0.4266666666666667,-5.88235294117646,accuracy
CiteSeer_NC,linear_probe,b2,node_classification,0.417,0.4123333333333334,-1.1191047162270016,accuracy
CiteSeer_NC,linear_probe,b3,node_classification,0.417,0.3523333333333333,-15.507593924860123,accuracy
CiteSeer_NC,linear_probe,s1,node_classification,0.417,0.3613333333333333,-13.349320543565154,accuracy
CiteSeer_NC,linear_probe,s2,node_classification,0.417,0.3583333333333333,-14.06874500399681,accuracy
CiteSeer_NC,linear_probe,s3,node_classification,0.417,0.3846666666666666,-7.7537969624300676,accuracy
CiteSeer_NC,linear_probe,s4,node_classification,0.417,0.381,-8.63309352517985,accuracy
CiteSeer_NC,linear_probe,s5,node_classification,0.417,0.3976666666666666,-4.636290967226228,accuracy
CiteSeer_NC,linear_probe,b4,node_classification,0.417,0.3879999999999999,-6.9544364508393475,accuracy
Cora_LP,full_finetune,b2,link_prediction,0.0872198547979797,0.0836828102453102,-4.055320386467126,auc
Cora_LP,full_finetune,b3,link_prediction,0.0872198547979797,0.0843394886363636,-3.302420266907862,auc
Cora_LP,full_finetune,s1,link_prediction,0.0872198547979797,0.0769553796897546,-11.768507448217914,auc
Cora_LP,full_finetune,s2,link_prediction,0.0872198547979797,0.0831416847041847,-4.675735935631775,auc
Cora_LP,full_finetune,s3,link_prediction,0.0872198547979797,0.0832318722943722,-4.572333344104426,auc
Cora_LP,full_finetune,s4,link_prediction,0.0872198547979797,0.0839082792207792,-3.7968139076484686,auc
Cora_LP,full_finetune,s5,link_prediction,0.0872198547979797,0.080241590007215,-8.000775519436363,auc
Cora_LP,full_finetune,b4,link_prediction,0.0872198547979797,0.0870676632395382,-0.17449187320250228,auc
Cora_LP,linear_probe,b2,link_prediction,0.0819466991341991,0.0854640151515151,4.292199752373075,auc
Cora_LP,linear_probe,b3,link_prediction,0.0819466991341991,0.0844832251082251,3.0953363598844867,auc
Cora_LP,linear_probe,s1,link_prediction,0.0819466991341991,0.0769469246031746,-6.101251891594408,auc
Cora_LP,linear_probe,s2,link_prediction,0.0819466991341991,0.0834911616161616,1.8847159169074479,auc
Cora_LP,linear_probe,s3,link_prediction,0.0819466991341991,0.0854386498917749,4.261246388774302,auc
Cora_LP,linear_probe,s4,link_prediction,0.0819466991341991,0.0809997294372294,-1.1555922410235242,auc
Cora_LP,linear_probe,s5,link_prediction,0.0819466991341991,0.0797568317099567,-2.6723070573668593,auc
Cora_LP,linear_probe,b4,link_prediction,0.0819466991341991,0.081253382034632,-0.8460586050350686,auc
Cora_NC,full_finetune,b2,node_classification,0.5363333333333334,0.5026666666666667,-6.277190801740222,accuracy
Cora_NC,full_finetune,b3,node_classification,0.5363333333333334,0.5333333333333333,-0.5593536357986537,accuracy
Cora_NC,full_finetune,s1,node_classification,0.5363333333333334,0.5206666666666667,-2.921068986948424,accuracy
Cora_NC,full_finetune,s2,node_classification,0.5363333333333334,0.513,-4.350528278433827,accuracy
Cora_NC,full_finetune,s3,node_classification,0.5363333333333334,0.5293333333333333,-1.3051584835301646,accuracy
Cora_NC,full_finetune,s4,node_classification,0.5363333333333334,0.5073333333333333,-5.407085146053474,accuracy
Cora_NC,full_finetune,s5,node_classification,0.5363333333333334,0.5026666666666667,-6.277190801740222,accuracy
Cora_NC,full_finetune,b4,node_classification,0.5363333333333334,0.5146666666666667,-4.0397762585456904,accuracy
Cora_NC,linear_probe,b2,node_classification,0.4823333333333333,0.4383333333333333,-9.122322045611607,accuracy
Cora_NC,linear_probe,b3,node_classification,0.4823333333333333,0.4453333333333333,-7.671043538355214,accuracy
Cora_NC,linear_probe,s1,node_classification,0.4823333333333333,0.5046666666666667,4.630269523151368,accuracy
Cora_NC,linear_probe,s2,node_classification,0.4823333333333333,0.4506666666666666,-6.565307532826541,accuracy
