domain,strategy,scheme,task_count,task_type,max_single_performance,multi_task_performance,synergy_score,synergy_pct,is_positive_synergy
ENZYMES,linear_probe,s1,2,generative,0.4666666666666666,0.3777777777777777,-0.0888888888888889,-19.04761904761905,False
ENZYMES,linear_probe,s2,2,contrastive,0.4666666666666666,0.4555555555555555,-0.011111111111111127,-2.3809523809523845,False
ENZYMES,linear_probe,s3,4,combined,0.4666666666666666,0.4444444444444445,-0.022222222222222143,-4.761904761904746,False
ENZYMES,linear_probe,s4,5,cross_domain,0.4666666666666666,0.4444444444444445,-0.022222222222222143,-4.761904761904746,False
ENZYMES,linear_probe,s5,6,full_adv,0.4666666666666666,0.4666666666666666,0.0,0.0,False
ENZYMES,linear_probe,b4,5,single_domain,0.4666666666666666,0.4277777777777778,-0.038888888888888806,-8.333333333333316,False
ENZYMES,full_finetune,s1,2,generative,0.6333333333333333,0.5722222222222223,-0.061111111111111005,-9.649122807017529,False
ENZYMES,full_finetune,s2,2,contrastive,0.6333333333333333,0.6277777777777778,-0.005555555555555536,-0.8771929824561373,False
ENZYMES,full_finetune,s3,4,combined,0.6333333333333333,0.6277777777777778,-0.005555555555555536,-0.8771929824561373,False
ENZYMES,full_finetune,s4,5,cross_domain,0.6333333333333333,0.6222222222222222,-0.011111111111111072,-1.7543859649122746,False
ENZYMES,full_finetune,s5,6,full_adv,0.6333333333333333,0.6499999999999999,0.016666666666666607,2.631578947368412,True
ENZYMES,full_finetune,b4,5,single_domain,0.6333333333333333,0.6611111111111111,0.02777777777777779,4.385964912280704,True
PTC_MR,linear_probe,s1,2,generative,0.5619047619047619,0.6476190476190476,0.08571428571428574,15.254237288135597,True
PTC_MR,linear_probe,s2,2,contrastive,0.5619047619047619,0.5333333333333333,-0.02857142857142858,-5.084745762711866,False
PTC_MR,linear_probe,s3,4,combined,0.5619047619047619,0.5142857142857142,-0.04761904761904767,-8.47457627118645,False
PTC_MR,linear_probe,s4,5,cross_domain,0.5619047619047619,0.4952380952380952,-0.06666666666666671,-11.864406779661024,False
PTC_MR,linear_probe,s5,6,full_adv,0.5619047619047619,0.4095238095238095,-0.1523809523809524,-27.11864406779661,False
PTC_MR,linear_probe,b4,5,single_domain,0.5619047619047619,0.5523809523809523,-0.009523809523809601,-1.694915254237302,False
PTC_MR,full_finetune,s1,2,generative,0.5619047619047618,0.6857142857142858,0.12380952380952404,22.03389830508479,True
PTC_MR,full_finetune,s2,2,contrastive,0.5619047619047618,0.5238095238095237,-0.03809523809523807,-6.77966101694915,False
PTC_MR,full_finetune,s3,4,combined,0.5619047619047618,0.5523809523809523,-0.00952380952380949,-1.6949152542372825,False
PTC_MR,full_finetune,s4,5,cross_domain,0.5619047619047618,0.4857142857142857,-0.07619047619047609,-13.559322033898288,False
PTC_MR,full_finetune,s5,6,full_adv,0.5619047619047618,0.5428571428571428,-0.01904761904761898,-3.389830508474565,False
PTC_MR,full_finetune,b4,5,single_domain,0.5619047619047618,0.5047619047619047,-0.05714285714285705,-10.169491525423714,False
Cora_NC,linear_probe,s1,2,generative,0.4453333333333333,0.5046666666666667,0.059333333333333405,13.32335329341319,True
Cora_NC,linear_probe,s2,2,contrastive,0.4453333333333333,0.4506666666666666,0.005333333333333301,1.1976047904191545,True
Cora_NC,linear_probe,s3,4,combined,0.4453333333333333,0.4633333333333334,0.01800000000000007,4.041916167664687,True
Cora_NC,linear_probe,s4,5,cross_domain,0.4453333333333333,0.4539999999999999,0.0086666666666666,1.946107784431123,True
Cora_NC,linear_probe,s5,6,full_adv,0.4453333333333333,0.4496666666666666,0.0043333333333333,0.9730538922155615,True
Cora_NC,linear_probe,b4,5,single_domain,0.4453333333333333,0.4243333333333333,-0.02100000000000002,-4.715568862275454,False
Cora_NC,full_finetune,s1,2,generative,0.5333333333333333,0.5206666666666667,-0.012666666666666604,-2.3749999999999885,False
Cora_NC,full_finetune,s2,2,contrastive,0.5333333333333333,0.513,-0.020333333333333314,-3.8124999999999964,False
Cora_NC,full_finetune,s3,4,combined,0.5333333333333333,0.5293333333333333,-0.0040000000000000036,-0.7500000000000007,False
Cora_NC,full_finetune,s4,5,cross_domain,0.5333333333333333,0.5073333333333333,-0.026000000000000023,-4.875000000000004,False
Cora_NC,full_finetune,s5,6,full_adv,0.5333333333333333,0.5026666666666667,-0.03066666666666662,-5.749999999999991,False
Cora_NC,full_finetune,b4,5,single_domain,0.5333333333333333,0.5146666666666667,-0.01866666666666661,-3.4999999999999893,False
CiteSeer_NC,linear_probe,s1,2,generative,0.4123333333333334,0.3613333333333333,-0.0510000000000001,-12.368633791430904,False
CiteSeer_NC,linear_probe,s2,2,contrastive,0.4123333333333334,0.3583333333333333,-0.054000000000000103,-13.096200485044484,False
CiteSeer_NC,linear_probe,s3,4,combined,0.4123333333333334,0.3846666666666666,-0.027666666666666784,-6.709781729991944,False
CiteSeer_NC,linear_probe,s4,5,cross_domain,0.4123333333333334,0.381,-0.03133333333333338,-7.599029911075192,False
CiteSeer_NC,linear_probe,s5,6,full_adv,0.4123333333333334,0.3976666666666666,-0.014666666666666772,-3.556992724333089,False
CiteSeer_NC,linear_probe,b4,5,single_domain,0.4123333333333334,0.3879999999999999,-0.024333333333333484,-5.901374292643529,False
CiteSeer_NC,full_finetune,s1,2,generative,0.4526666666666667,0.3843333333333333,-0.06833333333333341,-15.095729013254802,False
CiteSeer_NC,full_finetune,s2,2,contrastive,0.4526666666666667,0.4046666666666667,-0.04800000000000004,-10.6038291605302,False
CiteSeer_NC,full_finetune,s3,4,combined,0.4526666666666667,0.423,-0.02966666666666673,-6.553755522827701,False
CiteSeer_NC,full_finetune,s4,5,cross_domain,0.4526666666666667,0.3816666666666666,-0.07100000000000012,-15.684830633284266,False
CiteSeer_NC,full_finetune,s5,6,full_adv,0.4526666666666667,0.3993333333333333,-0.0533333333333334,-11.782032400589115,False
CiteSeer_NC,full_finetune,b4,5,single_domain,0.4526666666666667,0.4266666666666667,-0.026000000000000023,-5.7437407952871915,False
Cora_LP,linear_probe,s1,2,generative,0.0854640151515151,0.0769469246031746,-0.008517090548340503,-9.965703733016705,False
Cora_LP,linear_probe,s2,2,contrastive,0.0854640151515151,0.0834911616161616,-0.0019728535353534943,-2.308402585410849,False
Cora_LP,linear_probe,s3,4,combined,0.0854640151515151,0.0854386498917749,-2.5365259740200985e-05,-0.029679461812357075,False
Cora_LP,linear_probe,s4,5,cross_domain,0.0854640151515151,0.0809997294372294,-0.004464285714285698,-5.223585278986926,False
Cora_LP,linear_probe,s5,6,full_adv,0.0854640151515151,0.0797568317099567,-0.005707183441558392,-6.67787890779575,False
Cora_LP,linear_probe,b4,5,single_domain,0.0854640151515151,0.081253382034632,-0.004210633116883092,-4.926790660862657,False
Cora_LP,full_finetune,s1,2,generative,0.0843394886363636,0.0769553796897546,-0.007384108946609,-8.7552213868004,False
Cora_LP,full_finetune,s2,2,contrastive,0.0843394886363636,0.0831416847041847,-0.0011978039321789008,-1.4202172096908572,False
Cora_LP,full_finetune,s3,4,combined,0.0843394886363636,0.0832318722943722,-0.0011076163419913992,-1.3132832080201184,False
Cora_LP,full_finetune,s4,5,cross_domain,0.0843394886363636,0.0839082792207792,-0.00043120941558440207,-0.5112781954887059,False
Cora_LP,full_finetune,s5,6,full_adv,0.0843394886363636,0.080241590007215,-0.004097898629148611,-4.858813700918945,False
Cora_LP,full_finetune,b4,5,single_domain,0.0843394886363636,0.0870676632395382,0.0027281746031745935,3.234753550543014,True
CiteSeer_LP,linear_probe,s1,2,generative,0.1131220974067527,0.1064676860080863,-0.006654411398666404,-5.882503552545673,False
CiteSeer_LP,linear_probe,s2,2,contrastive,0.1131220974067527,0.1118752098737273,-0.0012468875330254037,-1.1022493054933156,False
CiteSeer_LP,linear_probe,s3,4,combined,0.1131220974067527,0.1029920413167262,-0.010130056090026512,-8.954975484234444,False
CiteSeer_LP,linear_probe,s4,5,cross_domain,0.1131220974067527,0.0986402445260858,-0.014481852880666904,-12.801966382036358,False
CiteSeer_LP,linear_probe,s5,6,full_adv,0.1131220974067527,0.0977582996856532,-0.015363797721099512,-13.581606134702367,False
CiteSeer_LP,linear_probe,b4,5,single_domain,0.1131220974067527,0.0941624556153837,-0.01895964179136901,-16.76033438736191,False
CiteSeer_LP,full_finetune,s1,2,generative,0.0941972120622973,0.0813532567424339,-0.01284395531986339,-13.635175647628555,False
CiteSeer_LP,full_finetune,s2,2,contrastive,0.0941972120622973,0.0955078197479976,0.0013106076857003074,1.3913444538396076,True
CiteSeer_LP,full_finetune,s3,4,combined,0.0941972120622973,0.0894297860939817,-0.0047674259683156,-5.061111538165975,False
CiteSeer_LP,full_finetune,s4,5,cross_domain,0.0941972120622973,0.0921740972148681,-0.002023114847429189,-2.147743869628756,False
CiteSeer_LP,full_finetune,s5,6,full_adv,0.0941972120622973,0.0890054678045782,-0.005191744257719094,-5.511568913828931,False
CiteSeer_LP,full_finetune,b4,5,single_domain,0.0941972120622973,0.0917208152197032,-0.0024763968425940974,-2.6289491890230607,False
