domain,scheme,task_type,linear_performance,full_performance,absolute_difference,relative_difference_pct,better_strategy,linear_training_time,full_training_time,time_ratio,linear_epochs,full_epochs,linear_trainable_params,full_trainable_params,param_ratio,linear_perf_per_param,full_perf_per_param
ENZYMES,b1,graph_classification,0.4944444444444444,0.6666666666666666,0.17222222222222222,34.831460674157306,full_finetune,34.51116172472636,40.18060930569967,1.1642786651517238,54.66666666666666,35.0,33670.0,1355915.0,40.27071577071577,1.4685014685014683e-05,4.916729047666459e-07
ENZYMES,b2,graph_classification,0.4666666666666666,0.6333333333333333,0.16666666666666669,35.71428571428572,full_finetune,36.11831760406494,46.13892809549967,1.2774384621477208,72.33333333333333,66.66666666666667,33670.0,1355915.0,40.27071577071577,1.386001386001386e-05,4.6708925952831355e-07
ENZYMES,b3,graph_classification,0.3611111111111111,0.6333333333333333,0.2722222222222222,75.38461538461539,full_finetune,29.358990907669067,44.19950826962789,1.505484585918865,41.0,55.0,33670.0,1355915.0,40.27071577071577,1.0725010725010725e-05,4.6708925952831355e-07
ENZYMES,s1,graph_classification,0.3777777777777777,0.5722222222222223,0.1944444444444446,51.470588235294166,full_finetune,31.775823672612507,42.55771271387736,1.3393110797803718,57.0,58.333333333333336,33670.0,1355915.0,40.27071577071577,1.1220011220011219e-05,4.2201924325803776e-07
ENZYMES,s2,graph_classification,0.4555555555555555,0.6277777777777778,0.17222222222222228,37.8048780487805,full_finetune,36.477289040883385,45.60368537902832,1.2501939310214683,85.0,76.33333333333333,33670.0,1355915.0,40.27071577071577,1.3530013530013528e-05,4.6299198532192487e-07
ENZYMES,s3,graph_classification,0.4444444444444445,0.6277777777777778,0.1833333333333333,41.249999999999986,full_finetune,35.97561494509379,43.513519605000816,1.2095281671046187,72.33333333333333,64.33333333333333,33670.0,1355915.0,40.27071577071577,1.3200013200013201e-05,4.6299198532192487e-07
ENZYMES,s4,graph_classification,0.4444444444444445,0.6222222222222222,0.17777777777777776,39.99999999999999,full_finetune,37.332294623057045,46.13008149464925,1.2356615622056766,90.33333333333331,65.33333333333333,33670.0,1355915.0,40.27071577071577,1.3200013200013201e-05,4.588947111155362e-07
ENZYMES,s5,graph_classification,0.4666666666666666,0.6499999999999999,0.1833333333333333,39.28571428571428,full_finetune,38.01839915911357,44.96631892522176,1.1827515076852644,91.0,63.333333333333336,33670.0,1355915.0,40.27071577071577,1.386001386001386e-05,4.793810821474797e-07
ENZYMES,b4,graph_classification,0.4277777777777778,0.6611111111111111,0.23333333333333328,54.54545454545453,full_finetune,35.262128829956055,45.60689957936605,1.2933677316901484,79.66666666666667,60.66666666666666,33670.0,1355915.0,40.27071577071577,1.2705012705012706e-05,4.875756305602571e-07
PTC_MR,b1,graph_classification,0.5523809523809523,0.5047619047619047,-0.04761904761904756,-8.620689655172404,linear_probe,16.448694944381714,19.464580694834392,1.1833510658839714,22.33333333333333,38.66666666666666,38530.0,1360775.0,35.31728523228653,1.4336385994833955e-05,3.709370797978393e-07
PTC_MR,b2,graph_classification,0.5619047619047619,0.5619047619047618,-1.1102230246251565e-16,-1.97582063704477e-14,linear_probe,19.5577810605367,17.19105823834737,0.8789881727961023,60.0,15.333333333333334,38530.0,1360775.0,35.31728523228653,1.4583565063710404e-05,4.1292995675608515e-07
PTC_MR,b3,graph_classification,0.4952380952380952,0.5428571428571428,0.047619047619047616,9.615384615384617,full_finetune,15.303107182184856,19.702325185139973,1.2874722074793068,16.666666666666668,34.666666666666664,38530.0,1360775.0,35.31728523228653,1.285331158157527e-05,3.9893233110333656e-07
PTC_MR,s1,graph_classification,0.6476190476190476,0.6857142857142858,0.03809523809523818,5.882352941176483,full_finetune,18.56864937146505,21.00900777180989,1.131423581302311,40.0,36.66666666666666,38530.0,1360775.0,35.31728523228653,1.6808176683598435e-05,5.039145234989515e-07
PTC_MR,s2,graph_classification,0.5333333333333333,0.5238095238095237,-0.009523809523809601,-1.7857142857143002,linear_probe,17.325852155685425,17.17989174524943,0.9915755710527578,25.0,14.333333333333334,38530.0,1360775.0,35.31728523228653,1.3842027857081061e-05,3.8493470545058787e-07
PTC_MR,s3,graph_classification,0.5142857142857142,0.5523809523809523,0.03809523809523807,7.407407407407403,full_finetune,17.118472655614216,19.159308433532715,1.1192183332576215,28.0,23.0,38530.0,1360775.0,35.31728523228653,1.3347669719328166e-05,4.059311439297109e-07
PTC_MR,s4,graph_classification,0.4952380952380952,0.4857142857142857,-0.00952380952380949,-1.9230769230769162,linear_probe,15.02488080660502,22.814383427302044,1.5184402273110023,15.666666666666666,54.0,38530.0,1360775.0,35.31728523228653,1.285331158157527e-05,3.5693945414509065e-07
PTC_MR,s5,graph_classification,0.4095238095238095,0.5428571428571428,0.1333333333333333,32.558139534883715,full_finetune,18.824446121851604,24.03620266914368,1.2768610833782896,39.66666666666666,64.66666666666667,38530.0,1360775.0,35.31728523228653,1.0628699961687243e-05,3.9893233110333656e-07
PTC_MR,b4,graph_classification,0.5523809523809523,0.5047619047619047,-0.04761904761904756,-8.620689655172404,linear_probe,15.48305368423462,19.92229668299357,1.2867162440493984,19.33333333333333,31.0,38530.0,1360775.0,35.31728523228653,1.4336385994833955e-05,3.709370797978393e-07
Cora_NC,b1,node_classification,0.4823333333333333,0.5363333333333334,0.05400000000000016,11.19557705597792,full_finetune,23.81482474009196,26.017682631810505,1.0924994374621646,191.66666666666663,134.33333333333334,369415.0,1691660.0,4.579294289620075,1.3056679705299819e-06,3.1704558441609627e-07
Cora_NC,b2,node_classification,0.4383333333333333,0.5026666666666667,0.06433333333333341,14.67680608365021,full_finetune,23.770689090092976,25.12872846921285,1.0571308376451682,144.66666666666666,146.33333333333334,369415.0,1691660.0,4.579294289620075,1.1865607334118356e-06,2.9714402815380554e-07
Cora_NC,b3,node_classification,0.4453333333333333,0.5333333333333333,0.08800000000000002,19.760479041916174,full_finetune,24.15789047876994,24.83255688349406,1.0279273724382938,141.66666666666666,149.33333333333334,369415.0,1691660.0,4.579294289620075,1.2055096120442681e-06,3.1527217841252575e-07
Cora_NC,s1,node_classification,0.5046666666666667,0.5206666666666667,0.016000000000000014,3.170409511228536,full_finetune,20.488805532455444,23.84048883120219,1.1635860759885435,146.0,138.0,369415.0,1691660.0,4.579294289620075,1.3661239166429807e-06,3.077844641752283e-07
